query,lat,lon
Fresh Meadows,40.7348246,-73.7934668
Brooklyn,40.6526006,-73.9497211
Ridgewood,40.9796683,-74.1194403
New Rochelle,40.9115386,-73.7826363
Mamaroneck,40.9487314,-73.7331416
Pelham,33.285669,-86.8099884
Larchmont,40.9278769,-73.7517983
White Plains,41.0339862,-73.7629097
Harrison,32.5233959,-94.3982158
Staten Island,40.5834557,-74.1496048
New York,40.7127281,-74.0060152
Bronx,40.8466508,-73.8785937
Ozone Park,40.67677,-73.8437461
Elmhurst,41.8994745,-87.9403418
Sunnyside,46.3246419,-120.0081898
bronx,40.8466508,-73.8785937
sunnyside,46.3246419,-120.0081898
brooklyn,40.6526006,-73.9497211
elmhurst,41.8994745,-87.9403418
new york,40.7127281,-74.0060152
woodside,37.4280637,-122.2507435
port chester,41.0017643,-73.6656834
forest hills,40.7231009,-73.8466125
rego park,40.722865,-73.8621025
bridgeport,41.1792695,-73.1887863
no title,52.5113689,13.4271994
whitestone,50.7383784,-3.6009702
bayside,40.7631203,-73.7707449
mount vernon,40.9125085,-73.8386504
richmond hill,43.8801166,-79.4392925
west new york,40.7856117,-74.0093129
astoria,40.7720145,-73.9302673
valley stream,40.6631362,-73.7056955
east orange,40.7642404,-74.215011
westport,41.1414855,-73.3578955
"brooklyn, New York, NY",40.6526006,-73.9497211
"valley stream, New York, NY",40.6631362,-73.7056955
"east orange, New York, NY",43.0804466,-76.222642
"westport, New York, NY",44.184174,-73.435707
"astoria, New York, NY",40.7720145,-73.9302673
"sunnyside, New York, NY",40.6164746,-74.1037609
"ridgewood, New York, NY",40.7080556,-73.9141667
"new york, New York, NY",40.7127281,-74.0060152
"franklin square, New York, NY",40.700236,-73.676448
"boca raton, New York, NY",43.0233117,-76.1836983
"rego park, New York, NY",40.722865,-73.8621025
"new fairfield, New York, NY",40.7522599,-73.9951162
"bayonne, New York, NY",40.632512,-74.1450676
"stamford, New York, NY",42.4073024,-74.614318
"union city, New York, NY",40.7900872365253,-73.93214658257642
